Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage(Km),Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Age,Predicted_Price,Actual_Price
781.0,HONDA,FIT,Hatchback,No,Petrol,1.5,157000.0,4.0,Automatic,Front,Right-hand drive,Silver,5.0,23.0,24.94452998979518,25
781.0,NISSAN,Serena,Minivan,No,Petrol,2.0,175000.0,4.0,Variator,Front,Right-hand drive,Black,2.0,23.0,8781.00000000004,8781
781.0,VOLKSWAGEN,Golf 2,Hatchback,Yes,Petrol,1.8,123457.0,4.0,Manual,Front,Left wheel,Blue,0.0,36.0,2500.0898400657525,2500
781.0,MERCEDES-BENZ,G 55 AMG,Jeep,Yes,Petrol,5.5,111111.0,8.0,Tiptronic,4x4,Left wheel,Silver,8.0,20.0,400.0725995534087,399
460.0,TOYOTA,Corolla,Sedan,Yes,Hybrid,1.8,7467.0,4.0,Automatic,Front,Left wheel,Blue,12.0,5.0,6898.377225800057,6899
891.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,287140.0,4.0,Automatic,Front,Left wheel,White,4.0,9.0,18816.9999999996,18817
988.0,TOYOTA,Prius,Sedan,Yes,Hybrid,1.5,170000.0,4.0,Variator,Front,Left wheel,Red,10.0,18.0,10036.000000000031,10036
781.0,MERCEDES-BENZ,E 350,Coupe,Yes,Petrol,3.5,200000.0,6.0,Tiptronic,Rear,Left wheel,White,8.0,15.0,34497.02999870824,34497
1267.0,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,135000.0,4.0,Automatic,Front,Right-hand drive,Grey,4.0,12.0,10408.854963335054,10400
640.0,FORD,Focus,Hatchback,No,Petrol,2.0,215626.0,4.0,Manual,Front,Left wheel,Silver,12.0,12.0,12544.000000000364,12544
781.0,MERCEDES-BENZ,C 240,Sedan,Yes,Petrol,2.6,0.0,6.0,Tiptronic,Rear,Left wheel,Silver,8.0,24.0,8467.000000000095,8467
1537.0,TOYOTA,Highlander,Jeep,Yes,Hybrid,3.3,472304.0,6.0,Automatic,4x4,Left wheel,White,12.0,16.0,783.9999999999991,784
1363.0,LEXUS,GX 460,Jeep,Yes,Petrol,4.6,229334.0,8.0,Automatic,4x4,Left wheel,Black,0.0,13.0,52059.939584416024,52059
639.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,51106.0,4.0,Automatic,Front,Left wheel,White,4.0,11.0,27280.998789848978,27284
749.0,JEEP,Compass,Jeep,Yes,Petrol,2.4,84414.0,4.0,Automatic,Front,Left wheel,Black,4.0,11.0,37308.07003500993,37291
781.0,BMW,X5,Jeep,Yes,Petrol,3.0,11111.0,6.0,Automatic,4x4,Left wheel,Black,6.0,24.0,11000.329840069315,11000
5332.0,MERCEDES-BENZ,E 300 AVANTGARDE-LTD,Universal,Yes,Petrol,3.0,75000.0,8.0,Tiptronic,Rear,Right-hand drive,White,12.0,18.0,14113.0,14113
1051.0,CHEVROLET,Malibu,Sedan,Yes,Petrol,2.4,155763.0,4.0,Automatic,Front,Left wheel,White,4.0,9.0,24282.839150566426,24283
781.0,SUBARU,Forester,Universal,No,Petrol,2.0,145576.0,4.0,Automatic,4x4,Right-hand drive,Silver,4.0,20.0,8467.000000000095,8467
779.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,124184.0,4.0,Automatic,Front,Left wheel,Silver,12.0,12.0,5018.000000000053,5018
781.0,HYUNDAI,Sonata,Sedan,No,Hybrid,2.4,480000.0,4.0,Tiptronic,Front,Left wheel,Grey,12.0,11.0,21953.0000000002,21953
781.0,OPEL,Combo,Goods wagon,No,Diesel,1.7,253033.0,4.0,Manual,Front,Left wheel,Black,1.0,22.0,7213.000000000082,7213
1091.0,SUBARU,Forester,Jeep,Yes,Petrol,2.5,68011.0,4.0,Automatic,4x4,Left wheel,Black,0.0,9.0,2037.624357983097,2038
749.0,CHEVROLET,Equinox,Jeep,No,Petrol,2.4,55000.0,4.0,Tiptronic,Front,Left wheel,White,12.0,11.0,26657.00000000031,26657
603.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,143619.0,6.0,Automatic,4x4,Left wheel,Black,12.0,10.0,13956.059987236209,13956
934.0,NISSAN,Altima,Sedan,Yes,Petrol,2.5,163875.0,4.0,Automatic,Front,Left wheel,Black,12.0,10.0,1725.0000000000182,1725
831.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,16687.0,4.0,Automatic,Front,Left wheel,Grey,4.0,8.0,21639.569521747668,21639
642.0,CHEVROLET,Malibu,Sedan,Yes,Petrol,2.0,65006.0,4.0,Automatic,Front,Left wheel,Silver,4.0,13.0,21692.748245322196,21699
781.0,NISSAN,Micra,Coupe,No,Petrol,1.0,130000.0,4.0,Manual,Front,Left wheel,Silver,2.0,27.0,4077.000000000071,4077
781.0,BMW,630,Sedan,Yes,Petrol,3.0,130000.0,6.0,Tiptronic,Rear,Left wheel,White,0.0,12.0,73682.11006417016,73698
781.0,AUDI,A4,Sedan,Yes,Petrol,2.0,256000.0,4.0,Manual,4x4,Left wheel,Black,0.0,19.0,15681.000000000458,15681
781.0,HONDA,Insight,Sedan,Yes,Hybrid,1.3,155000.0,4.0,Variator,Front,Left wheel,Red,8.0,14.0,16934.99999999977,16935
891.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,209744.0,4.0,Automatic,Front,Left wheel,White,4.0,9.0,19913.999999999578,19914
777.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,131957.0,4.0,Automatic,Front,Left wheel,White,4.0,11.0,32396.04913005386,32412
629.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,75000.0,4.0,Automatic,Front,Left wheel,White,4.0,10.0,20529.16445149954,20526
1750.0,TOYOTA,Highlander,Jeep,Yes,Hybrid,3.3,0.0,6.0,Automatic,4x4,Left wheel,Silver,12.0,17.0,314.0000000000039,314
781.0,MERCEDES-BENZ,C 180,Sedan,No,CNG,1.8,220000.0,4.0,Manual,Rear,Left wheel,Silver,4.0,29.0,4861.000000000073,4858
781.0,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,164000.0,4.0,Automatic,Front,Left wheel,Silver,4.0,17.0,45.00000000000023,45
765.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,367783.0,4.0,Automatic,Front,Left wheel,Orange,4.0,10.0,12544.000000000364,12544
891.0,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,88585.0,4.0,Automatic,Front,Left wheel,Black,4.0,9.0,45542.43713979225,45542
765.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,421167.0,4.0,Automatic,Front,Left wheel,White,4.0,10.0,10975.999999999767,10976
574.0,HONDA,Insight,Hatchback,No,Hybrid,1.3,111867.0,4.0,Automatic,Front,Left wheel,Silver,0.0,15.0,12544.000000000364,12544
490.0,HONDA,Insight,Hatchback,No,Hybrid,1.3,116197.0,4.0,Automatic,Front,Left wheel,Black,7.0,14.0,11758.65337276398,11760
781.0,KIA,RIO,Hatchback,No,Petrol,1.4,91000.0,4.0,Manual,Front,Left wheel,Silver,6.0,9.0,18816.999999999567,18817
781.0,MITSUBISHI,Pajero,Jeep,No,Diesel,2.5,1958.0,4.0,Automatic,4x4,Left wheel,Blue,2.0,30.0,7213.000000000082,7213
1055.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,107800.0,6.0,Automatic,Rear,Left wheel,Grey,12.0,12.0,5801.999999999955,5802
781.0,LEXUS,RX 350,Jeep,Yes,Petrol,3.5,104000.0,6.0,Tiptronic,Front,Left wheel,Black,12.0,12.0,53944.76437047598,53941
781.0,FORD,Transit,Microbus,No,Diesel,2.5,300000.0,4.0,Manual,Rear,Left wheel,White,4.0,27.0,17249.000000000473,17249
629.0,NISSAN,Juke,Jeep,Yes,Petrol,1.6,103358.0,4.0,Automatic,4x4,Left wheel,Blue,0.0,10.0,3606.999999999986,3607
639.0,HYUNDAI,Tucson,Jeep,Yes,Petrol,2.0,102000.0,4.0,Automatic,Front,Left wheel,Grey,4.0,11.0,36224.670246567686,36219
528.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,84640.0,4.0,Automatic,Front,Left wheel,White,4.0,11.0,25889.000000000007,25889
810.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,104270.0,4.0,Automatic,Front,Left wheel,White,12.0,9.0,2115.6832415594668,2117
528.0,HYUNDAI,Elantra,Sedan,Yes,Diesel,1.6,102152.0,4.0,Automatic,Front,Left wheel,White,4.0,11.0,27940.028273638887,27946
781.0,MERCEDES-BENZ,Vito,Minivan,Yes,Diesel,2.2,280000.0,4.0,Tiptronic,Front,Left wheel,Black,6.0,23.0,13485.000000000256,13485
640.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,224077.0,4.0,Automatic,Front,Left wheel,White,4.0,12.0,29170.27765161649,29156
586.0,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,98000.0,4.0,Automatic,Front,Left wheel,Carnelian red,10.0,13.0,21325.589609341194,21326
603.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,143619.0,6.0,Automatic,4x4,Left wheel,Black,12.0,10.0,13956.000000000355,13956
639.0,SUBARU,XV,Sedan,Yes,Petrol,2.0,142211.0,4.0,Automatic,4x4,Left wheel,Black,0.0,11.0,10506.14985122126,10506
781.0,VOLKSWAGEN,Jetta,Sedan,No,CNG,2.0,168000.0,4.0,Automatic,Front,Left wheel,Silver,5.0,25.0,3763.000000000046,3763
781.0,HONDA,Civic,Hatchback,No,Petrol,1.8,250000.0,4.0,Manual,Front,Right-hand drive,Grey,4.0,19.0,8467.000000000095,8467
891.0,HYUNDAI,Elantra,Sedan,No,Petrol,2.0,92000.0,4.0,Tiptronic,Front,Left wheel,Black,8.0,9.0,23206.999999999494,23207
781.0,FORD,Mustang,Coupe,Yes,Petrol,3.7,150000.0,6.0,Tiptronic,Rear,Left wheel,Red,8.0,12.0,31988.569497840606,31988
917.0,BMW,X5,Jeep,Yes,Diesel,3.0,137802.0,6.0,Automatic,4x4,Left wheel,Black,0.0,12.0,1019.0000000000089,1019
730.0,CHEVROLET,Orlando,Jeep,Yes,Diesel,1.6,77836.0,4.0,Automatic,Front,Left wheel,Grey,4.0,9.0,27438.98737046327,27425
1079.0,TOYOTA,CHR,Jeep,Yes,Petrol,2.0,25850.0,4.0,Automatic,Front,Left wheel,Grey,12.0,7.0,783.9999999999991,784
1211.0,CADILLAC,SRX,Sedan,Yes,Petrol,3.0,216155.0,6.0,Automatic,Front,Left wheel,Pink,12.0,15.0,2509.000000000022,2509
765.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,108177.0,4.0,Automatic,Front,Left wheel,Black,4.0,10.0,47212.65205869172,47217
781.0,BMW,525,Sedan,No,CNG,2.5,157000.0,6.0,Manual,Rear,Left wheel,Blue,4.0,25.0,6797.508018970315,6800
781.0,OPEL,Astra suzuki mr wagon,Hatchback,No,Petrol,0.7,167000.0,3.0,Automatic,Front,Right-hand drive,Black,2.0,20.0,4701.098631387062,4704
781.0,SCION,tC,Coupe,No,Petrol,2.5,92000.0,4.0,Tiptronic,Front,Left wheel,Blue,6.0,11.0,21950.0299979704,21950
640.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,66690.0,4.0,Automatic,Front,Left wheel,White,4.0,12.0,11261.507652169445,11259
781.0,FORD,Transit Connect,Goods wagon,No,Diesel,1.8,230000.0,4.0,Manual,Front,Left wheel,White,4.0,22.0,8467.000000000095,8467
781.0,BMW,X1,Hatchback,No,Diesel,2.0,274000.0,4.0,Manual,Rear,Left wheel,Black,6.0,15.0,25088.99999999966,25089
781.0,PEUGEOT,3008 2.0,Jeep,Yes,Diesel,2.0,3237.0,4.0,Automatic,4x4,Left wheel,Grey,10.0,7.0,79939.3735392295,80000
687.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,100403.0,4.0,Automatic,Front,Left wheel,White,4.0,15.0,14067.958968845545,14069
640.0,CHEVROLET,Cruze,Sedan,Yes,Diesel,2.0,163855.0,4.0,Automatic,Front,Left wheel,White,4.0,12.0,18522.95914074163,18519
751.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,127355.0,4.0,Automatic,Front,Left wheel,Black,0.0,12.0,26657.00000000031,26657
781.0,MERCEDES-BENZ,ML 320,Jeep,Yes,CNG,3.2,384000.0,6.0,Tiptronic,4x4,Left wheel,Black,12.0,23.0,11917.000000000196,11917
1493.0,FORD,Explorer,Jeep,Yes,Petrol,3.5,66246.0,4.0,Automatic,Front,Left wheel,White,4.0,9.0,92137.16183374867,92070
475.0,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,96287.0,4.0,Tiptronic,Front,Left wheel,Black,12.0,13.0,14113.0,14113
934.0,TOYOTA,Camry,Sedan,No,Petrol,2.5,110734.0,4.0,Automatic,Front,Left wheel,Black,12.0,10.0,28225.000000000808,28225
781.0,MERCEDES-BENZ,E 430,Sedan,Yes,LPG,4.3,245000.0,8.0,Tiptronic,Rear,Left wheel,Silver,0.0,23.0,10975.999999999749,10976
2455.0,LEXUS,GX 470,Jeep,Yes,Petrol,4.7,146000.0,8.0,Automatic,4x4,Left wheel,White,8.0,17.0,35434.12204127929,35438
1885.0,PORSCHE,Panamera,Sedan,Yes,Petrol,4.8,88939.0,8.0,Tiptronic,4x4,Left wheel,Grey,12.0,15.0,67422.76884354389,67426
1055.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,107800.0,6.0,Automatic,Rear,Left wheel,Grey,12.0,12.0,5801.999999999955,5802
781.0,CHRYSLER,PT Cruiser,Sedan,No,Petrol,2.0,200000.0,6.0,Manual,Front,Left wheel,Silver,0.0,23.0,6272.0000000001055,6272
891.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,2.0,97600.0,4.0,Tiptronic,Front,Left wheel,Black,16.0,9.0,23520.999999999854,23521
753.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,215266.0,4.0,Automatic,Front,Left wheel,Grey,12.0,13.0,940.9999999999984,941
781.0,VOLKSWAGEN,CC,Sedan,Yes,Petrol,2.0,159000.0,4.0,Manual,Front,Left wheel,Carnelian red,8.0,16.0,14426.000000000106,14426
1341.0,TOYOTA,Corolla,Sedan,Yes,Petrol,1.8,479998.0,4.0,Automatic,Front,Left wheel,Silver,12.0,19.0,627.000000000001,627
645.0,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,145000.0,4.0,Automatic,Front,Left wheel,White,12.0,14.0,17249.000000000473,17249
639.0,BMW,428,Coupe,Yes,Petrol,2.0,107003.0,4.0,Automatic,4x4,Left wheel,White,12.0,11.0,5175.000000000063,5175
1277.0,HYUNDAI,Santa FE,Sedan,Yes,Petrol,2.4,44240.0,4.0,Automatic,4x4,Left wheel,White,12.0,7.0,11290.000000000235,11290
781.0,BMW,325,Sedan,No,Petrol,2.5,230000.0,6.0,Manual,Rear,Left wheel,Black,8.0,24.0,7213.000000000082,7213
1325.0,MAZDA,CX-9,Sedan,Yes,Petrol,2.5,11746.0,4.0,Automatic,Front,Left wheel,Grey,12.0,6.0,35438.12748345682,35438
364.0,CHEVROLET,Spark,Hatchback,Yes,Petrol,1.0,75407.0,4.0,Automatic,Front,Left wheel,Black,4.0,13.0,6272.659862587287,6272
530.0,NISSAN,Juke,Jeep,Yes,Petrol,1.6,110531.0,4.0,Automatic,4x4,Left wheel,Red,0.0,12.0,14426.000000000106,14426
645.0,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,148552.0,4.0,Automatic,Front,Left wheel,Black,12.0,14.0,13484.819941113283,13485
639.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,346470.0,4.0,Automatic,Front,Left wheel,Silver,4.0,11.0,11604.00000000017,11604
781.0,TOYOTA,Prius,Sedan,No,Hybrid,1.8,145600.0,4.0,Automatic,Front,Left wheel,Black,0.0,12.0,21011.99999999971,21012
781.0,HONDA,Cr-v,Jeep,Yes,Petrol,2.0,197000.0,4.0,Automatic,4x4,Right-hand drive,Sky blue,4.0,23.0,10975.999999999749,10976
642.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,255800.0,4.0,Automatic,Front,Left wheel,Silver,4.0,13.0,12133.49787750355,12143
781.0,MERCEDES-BENZ,C 180,Sedan,No,CNG,2.0,19000.0,4.0,Tiptronic,Rear,Left wheel,Silver,6.0,25.0,9408.000000000116,9408
645.0,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,420053.0,4.0,Automatic,Front,Left wheel,Blue,12.0,14.0,549.0000000000008,549
781.0,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,1000.0,4.0,Automatic,Front,Left wheel,White,12.0,10.0,30.02954035521676,30
473.0,CHEVROLET,Cruze,Sedan,No,Petrol,1.4,121000.0,4.0,Tiptronic,Front,Left wheel,Green,10.0,11.0,9722.000000000116,9722
420.0,KIA,Niro,Sedan,Yes,Hybrid,1.6,2942.0,4.0,Automatic,Front,Left wheel,Red,12.0,6.0,706.0000000000066,706
583.0,NISSAN,Juke,Jeep,Yes,Petrol,1.6,90102.0,4.0,Tiptronic,Front,Left wheel,Black,8.0,14.0,16934.99999999977,16935
639.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,349773.0,4.0,Automatic,Front,Left wheel,Silver,4.0,11.0,10036.000000000031,10036
1018.0,BMW,X5,Jeep,Yes,Diesel,3.0,332243.0,6.0,Automatic,4x4,Left wheel,Black,12.0,14.0,10192.199903917934,10192
781.0,MERCEDES-BENZ,C 180,Sedan,No,Petrol,1.8,290000.0,6.0,Automatic,Rear,Left wheel,Silver,4.0,29.0,5331.099907279564,5331
781.0,AUDI,A4,Sedan,Yes,Petrol,2.0,226000.0,8.0,Tiptronic,4x4,Left wheel,Grey,4.0,17.0,10975.999999999749,10976
900.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,176688.0,4.0,Automatic,Front,Left wheel,Black,12.0,10.0,1490.000000000002,1490
781.0,BMW,320,Sedan,No,Diesel,2.0,350000.0,4.0,Manual,Rear,Left wheel,Blue,4.0,26.0,7840.0000000000055,7840
1324.0,TOYOTA,Highlander,Sedan,Yes,Hybrid,3.3,316912.0,6.0,Automatic,4x4,Left wheel,Blue,12.0,15.0,125.09626670946518,125
781.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,159379.0,4.0,Automatic,Front,Left wheel,White,12.0,13.0,3136.0000000000236,3136
781.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,52600.0,4.0,Automatic,Front,Left wheel,White,4.0,13.0,17718.469235409048,17719
781.0,MITSUBISHI,Galant,Sedan,Yes,CNG,2.0,11111.0,4.0,Manual,Front,Left wheel,Green,4.0,28.0,4704.657742177647,4704
831.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,25635.0,4.0,Automatic,Front,Left wheel,Black,12.0,8.0,1019.0000000000089,1019
781.0,SUZUKI,Swift Sport,Hatchback,No,Petrol,1.6,160000.0,4.0,Automatic,Front,Right-hand drive,Black,8.0,18.0,9722.000000000116,9722
586.0,TOYOTA,Corolla LE,Sedan,No,Petrol,1.8,124000.0,4.0,Automatic,Front,Left wheel,Black,12.0,13.0,16308.000000000318,16308
781.0,CHEVROLET,Cruze LT,Sedan,No,Petrol,1.4,22000.0,4.0,Automatic,Front,Left wheel,Red,6.0,7.0,23520.999999999854,23521
781.0,HONDA,FIT,Hatchback,No,Petrol,1.3,0.0,4.0,Automatic,Front,Right-hand drive,Silver,4.0,19.0,30.000000000000014,30
781.0,BMW,328,Sedan,Yes,Petrol,3.0,120000.0,6.0,Tiptronic,Rear,Left wheel,Grey,8.0,14.0,23520.999999999854,23521
1090.0,KIA,Sportage,Jeep,Yes,Diesel,2.0,60928.0,4.0,Automatic,Front,Left wheel,Silver,4.0,17.0,9408.000000000116,9408
2455.0,LEXUS,GX 470,Jeep,Yes,Petrol,4.7,263190.0,8.0,Automatic,4x4,Left wheel,White,0.0,17.0,861.9999999999967,862
1399.0,MERCEDES-BENZ,E 350 AMG,Sedan,Yes,Petrol,3.5,76000.0,6.0,Tiptronic,Rear,Left wheel,White,8.0,15.0,39200.999999999585,39201
639.0,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,153935.0,4.0,Automatic,Front,Left wheel,Black,4.0,11.0,29581.793718057943,29586
781.0,VOLKSWAGEN,Jetta,Sedan,Yes,CNG,2.5,0.0,5.0,Tiptronic,Front,Left wheel,Silver,8.0,20.0,11917.000000000196,11917
